"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24527","testIncomeFlow","Default Suite","Wed Nov 27 13:50:26 CET 2024","passed","Wed Nov 27 13:50:51 CET 2024","IncomeTest","appium-demo","IncomeTest","testIncomeFlow"
"","23788","Test the expense flow","Default Suite","Wed Nov 27 13:52:33 CET 2024","passed","Wed Nov 27 13:52:57 CET 2024","ExpenseTest","appium-demo","ExpenseTest","testExpenseFlow"
